"Na programação orientada a objetos, o que é um 'objeto'?",É uma coleção de dados e comportamentos associados que modela algo do mundo real ou abstrato.
"Ao usar `super()` em uma hierarquia de herança múltipla, qual método ele chama?","Ele chama o 'próximo' método na Ordem de Resolução de Métodos (MRO), que pode não ser um pai direto."
"O princípio em Python de que 'se anda como um pato e grasna como um pato, então é um pato' é conhecido como _____.",duck typing
O que são 'Classes Base Abstratas' (Abstract Base Classes ou ABCs)?,Definem um conjunto de métodos e propriedades que uma classe deve implementar para ser considerada uma instância de tipo-pato (duck-type) daquela classe.
Qual palavra-chave em Python é usada para deliberadamente causar a ocorrência de uma exceção?,A palavra-chave `raise`.
Qual bloco de código é usado para envolver código que pode potencialmente levantar uma exceção?,O bloco `try`.
Qual cláusula é usada para especificar o código que deve ser executado se uma exceção for levantada dentro de um bloco `try`?,A cláusula `except`.
"Como você pode capturar múltiplos tipos de exceção, como `ZeroDivisionError` e `TypeError`, com um único bloco de manipulador?","Listando as exceções em uma tupla após a palavra-chave `except`, como em `except (ZeroDivisionError, TypeError):`."
Qual cláusula em um bloco `try...except` é executada apenas se nenhuma exceção for levantada?,A cláusula `else`.
"Qual cláusula em um bloco `try...except` é sempre executada, independentemente de uma exceção ter sido levantada ou tratada?",A cláusula `finally`.
Como você captura a instância do objeto de exceção em uma variável ao tratá-la?,"Usando a palavra-chave `as`, como em `except ValueError as e:`."
"Dentro de uma cláusula `except`, como você pode relançar a mesma exceção que foi capturada?",Usando a palavra-chave `raise` sem nenhum argumento.
"De qual classe embutida todas as exceções em Python devem herdar, direta ou indiretamente?",Da classe `BaseException`.
Por que é geralmente uma má ideia usar uma cláusula `except:` vazia (sem especificar um tipo de exceção)?,"Porque ela captura todas as exceções, incluindo `SystemExit` e `KeyboardInterrupt`, que normalmente não deveriam ser impedidas."
"Se você precisa capturar a maioria das exceções, mas permitir que o programa saia normalmente, qual classe de exceção é mais seguro especificar?","A classe `Exception`, pois ela é a superclasse da maioria dos erros comuns, mas não de `SystemExit` ou `KeyboardInterrupt`."
Como você define uma exceção personalizada em Python?,Criando uma nova classe que herda da classe `Exception` (ou de outra exceção).
"Qual filosofia de programação o tratamento de exceções em Python incentiva, em vez de verificar precondições extensivamente?",'É mais fácil pedir perdão do que permissão' (Ask forgiveness rather than permission).
"Na Análise Orientada a Objetos (OOA), o que é identificado em um problema ou sistema?",Os objetos e as interações entre eles.
O que é produzido durante a fase de Design Orientado a Objetos (OOD)?,"Uma especificação de implementação, como um conjunto de classes e interfaces."
"Na programação Python, como um método de instância acessa os atributos do seu próprio objeto?","Usando o parâmetro `self`, por exemplo, `self.x = 10`."
"Em Python, o que o decorador `@classmethod` faz?","Marca um método como um método de classe, que recebe a própria classe como primeiro argumento (`cls`) em vez da instância (`self`)."
O que o decorador `@staticmethod` faz?,"Cria um método que não recebe um primeiro argumento implícito (nem `self` nem `cls`) e se comporta como uma função normal, mas pertence ao namespace da classe."
Para que serve o método especial `__contains__` em uma classe de contêiner?,"Ele implementa o comportamento do operador `in`, retornando `True` se o contêiner contém o elemento especificado."
Qual módulo Python fornece ferramentas para criar Classes Base Abstratas (ABCs)?,O módulo `abc`.
"Em uma Classe Base Abstrata, como se marca um método que deve ser implementado por todas as subclasses concretas?",Usando o decorador `@abc.abstractmethod`.
A exceção _____ é levantada quando uma operação ou função é aplicada a um objeto de tipo inadequado.,`TypeError`
"Quando se tenta acessar uma chave que não existe em um dicionário, qual exceção é levantada?",`KeyError`.
"A exceção _____ é levantada quando se tenta usar um índice que está fora do intervalo de uma sequência, como uma lista.",`IndexError`
"Em Python, o que significa que as funções também são objetos?","Significa que elas podem ser atribuídas a variáveis, passadas como argumentos para outras funções e armazenadas em estruturas de dados."
Qual é a principal vantagem de usar `super().__init__(**kwargs)` em uma hierarquia de herança múltipla?,Garante que cada `__init__` na cadeia MRO seja chamado exatamente uma vez e permite passar argumentos para as superclasses corretas.
O que é um objeto 'chamável' (callable) em Python?,"É qualquer objeto que pode ser chamado usando o operador de chamada de função `()`, como funções, métodos ou instâncias de classes com um método `__call__`."
"No caso de estudo imobiliário, por que a herança múltipla foi usada para criar classes como `HouseRental`?",Para combinar as características e comportamentos de duas superclasses distintas (`Rental` e `House`) em uma única classe.
Qual é o efeito de uma exceção não tratada em um programa Python?,A execução do programa é interrompida e um 'traceback' da exceção é impresso no console.
